City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,chongwe,-15.3292,28.682,25.08,73,91,3.07,ZM,1712488367
117,bredasdorp,-34.5322,20.0403,17.45,84,91,13.02,ZA,1712488367
118,st. john's,47.5649,-52.7093,2.31,89,81,4.47,CA,1712488202
119,areka,7.0667,37.7,26.28,50,100,0.81,ET,1712488367
120,ancud,-41.8697,-73.8203,11.38,94,100,0.69,CL,1712488367
121,haiku-pauwela,20.9219,-156.3051,21.69,84,0,10.29,US,1712488367
122,callao,-12.0667,-77.15,23.18,88,40,3.09,PE,1712488240
123,constantia,44.1833,28.65,15.39,78,32,3.39,RO,1712488264
124,khandud,36.9513,72.318,4.15,46,2,1.09,AF,1712488368
125,ust-nera,64.5667,143.2,-15.2,100,47,1.14,RU,1712488368
126,sarria,42.7815,-7.4143,17.38,61,57,3.33,ES,1712488220
127,lice,38.4592,40.6475,13.43,66,100,1.9,TR,1712488368
128,puerto escondido,15.85,-97.0667,26.12,69,0,3.13,MX,1712488368
129,monchegorsk,67.9397,32.8739,-3.38,79,37,3.23,RU,1712488368
130,papatowai,-46.5619,169.4708,10.21,94,90,2.98,NZ,1712488368
131,mount gambier,-37.8333,140.7667,10.21,89,24,1.45,AU,1712488368
132,port said,31.2565,32.2841,19.19,72,11,4.69,EG,1712488363
133,lakatoro,-16.0999,167.4164,25.92,81,92,3.36,VU,1712488369
134,angaur state,6.906,134.13,28.16,77,84,7.41,PW,1712488369
135,metlili chaamba,32.2667,3.6333,29.12,13,60,7.83,DZ,1712488369
136,chibougamau,49.9168,-74.3659,-4.54,99,53,1.04,CA,1712488369
137,la passe,45.5549,-0.8967,19.13,78,100,2.86,FR,1712488369
138,inirida,3.8653,-67.9239,23.58,98,100,0.7,CO,1712488369
139,tongchuan,35.0806,109.0897,16.46,51,98,1.02,CN,1712488369
140,tapa,59.2606,25.9586,9.56,77,100,5.73,EE,1712488369
141,cabo san lucas,22.8909,-109.9124,19.73,75,100,0.89,MX,1712488218
142,moshi,-3.35,37.3333,27.21,66,99,2.03,TZ,1712488157
143,tsiombe,-25.3,45.4833,28.64,61,43,5.62,MG,1712488370
144,hasaki,35.7333,140.8333,17.38,92,93,4.04,JP,1712488370
145,kurgan,55.45,65.3333,0.53,70,100,6.26,RU,1712488370
146,weno,7.4515,151.8468,27.97,89,75,3.6,FM,1712488370
147,tanumah,27.1,44.1333,33.02,10,1,9.77,SA,1712488370
148,whakatane,-37.9585,176.9854,12.1,89,8,2.48,NZ,1712488370
149,aripuana,-9.1667,-60.6333,23.31,100,100,0.44,BR,1712488370
150,ilulissat,69.2167,-51.1,-5.99,79,75,1.54,GL,1712488371
151,nago,26.5881,127.9761,23.47,96,100,3.45,JP,1712488371
152,brookings,44.3114,-96.7984,6.14,92,100,9.77,US,1712488171
153,baiao,-2.7906,-49.6717,23.89,98,100,0.81,BR,1712488371
154,west island,-12.1568,96.8225,29.99,74,40,4.12,CC,1712488371
155,gonabad,34.3529,58.6837,28.43,12,53,7.84,IR,1712488371
156,dunedin,-45.8742,170.5036,10.45,93,36,1.34,NZ,1712488371
157,manay,7.215,126.5397,24.53,83,59,3.49,PH,1712488372
158,holualoa,19.6228,-155.9522,19.91,97,20,4.63,US,1712488119
159,nkhotakota,-12.9274,34.2961,28.47,64,61,2.75,MW,1712488095
160,poptun,16.3311,-89.4169,20.21,95,12,2.59,GT,1712488372
161,papao,-17.75,-149.55,27.82,77,68,5.48,PF,1712488372
162,akureyri,65.6835,-18.0878,-1.52,94,100,9.71,IS,1712488139
163,chonchi,-42.6128,-73.8092,9.56,98,100,0.43,CL,1712488372
164,altay,47.8667,88.1167,11.23,45,0,2.92,CN,1712488372
165,kencong,-8.2833,113.3667,26.8,84,88,0.65,ID,1712488373
166,macau,22.2006,113.5461,26.89,94,40,3.09,MO,1712488320
167,dudinka,69.4058,86.1778,-7.4,89,100,8.05,RU,1712488373
168,arivonimamo,-19.0167,47.1833,29.03,50,30,1.14,MG,1712488373
169,pacific grove,36.6177,-121.9166,7.32,82,0,2.06,US,1712488373
170,cidreira,-30.1811,-50.2056,22.22,78,100,10.04,BR,1712488373
171,invercargill,-46.4,168.35,7.68,97,58,1.86,NZ,1712488081
172,rawlins,41.7911,-107.2387,-3.69,74,75,9.26,US,1712488373
173,mineiros,-17.5694,-52.5511,22.9,82,86,1.53,BR,1712488373
174,beichengqu,40.4394,113.1536,15.04,19,100,2.89,CN,1712488270
175,karungdong,5.8844,121.263,27.92,80,100,2.34,PH,1712488374
176,pisco,-13.7,-76.2167,20.03,88,98,2.57,PE,1712488374
177,minas de marcona,-15.2119,-75.1103,15.8,91,100,3.5,PE,1712488374
178,luau,-10.7073,22.2247,19.38,94,100,1.8,AO,1712488374
179,margaret river,-33.95,115.0667,17.76,72,0,8.91,AU,1712488224
180,aykhal,66.0,111.5,-5.56,95,100,7.41,RU,1712488374
181,hithadhoo,-0.6,73.0833,28.95,73,87,2.52,MV,1712488374
182,lycksele,64.5954,18.6735,1.35,100,100,3.6,SE,1712488374
183,ruidoso,33.3317,-105.673,2.25,23,0,10.29,US,1712488374
184,dampit,-8.2116,112.7493,23.41,99,80,0.68,ID,1712488374
185,galliano,29.4422,-90.2992,21.0,88,75,0.0,US,1712488215
186,santana,-0.0583,-51.1817,27.1,89,0,2.57,BR,1712488375
187,wanxian,30.8039,108.3897,17.98,85,100,2.19,CN,1712488375
188,acara,-1.9608,-48.1967,22.95,99,100,0.29,BR,1712488375
189,namibe,-15.1961,12.1522,24.88,74,94,2.7,AO,1712488375
190,chunskiy,56.0815,99.6342,7.6,87,100,0.91,RU,1712488375
191,amungan,15.3652,119.9582,28.11,74,13,3.07,PH,1712488375
192,nar'yan-mar,67.6713,53.087,-3.65,88,100,5.81,RU,1712488375
193,siwa oasis,29.2041,25.5195,26.69,20,0,5.62,EG,1712488375
194,moree,-29.4667,149.85,20.65,58,2,3.27,AU,1712488375
195,faya-largeau,17.9257,19.1043,36.66,7,2,11.01,TD,1712488376
196,queenstown,-31.8976,26.8753,14.48,86,100,4.36,ZA,1712488376
197,nova sintra,14.8667,-24.7167,23.71,75,19,6.63,CV,1712488376
198,hamilton,39.1834,-84.5333,4.52,87,0,2.57,US,1712488287
199,guasdualito,7.2424,-70.7324,24.23,81,92,0.94,VE,1712488376
200,taltal,-25.4,-70.4833,16.82,84,25,0.99,CL,1712488221
